"Device class         ","Serial number        ","MAC_ETH              ",DAK-PW,Manufacturer,Device type,Date of manufacture
PLC-Head-End,C10625053254,00:0B:C2:19:B2:49,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625053255,00:0B:C2:19:B2:4B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053256,00:0B:C2:19:B2:4D,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625053257,00:0B:C2:19:B2:4F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053258,00:0B:C2:19:B2:51,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053259,00:0B:C2:19:B2:53,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053260,00:0B:C2:19:B2:55,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053261,00:0B:C2:19:B2:57,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053262,00:0B:C2:19:B2:59,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053263,00:0B:C2:19:B2:5B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053264,00:0B:C2:19:B2:5D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053265,00:0B:C2:19:B2:5F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053266,00:0B:C2:19:B2:61,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053267,00:0B:C2:19:B2:63,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053268,00:0B:C2:19:B2:65,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053269,00:0B:C2:19:B2:67,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053270,00:0B:C2:19:B2:69,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053271,00:0B:C2:19:B2:6B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053272,00:0B:C2:19:B2:6D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053273,00:0B:C2:19:B2:6F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053274,00:0B:C2:19:B2:71,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053275,00:0B:C2:19:B2:73,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053276,00:0B:C2:19:B2:75,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053277,00:0B:C2:19:B2:77,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053278,00:0B:C2:19:B2:79,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625053279,00:0B:C2:19:B2:7B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053280,00:0B:C2:19:B2:7D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053281,00:0B:C2:19:B2:7F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053282,00:0B:C2:19:B2:81,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053283,00:0B:C2:19:B2:83,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053284,00:0B:C2:19:B2:85,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053285,00:0B:C2:19:B2:87,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053286,00:0B:C2:19:B2:89,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625053287,00:0B:C2:19:B2:8B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053288,00:0B:C2:19:B2:8D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053289,00:0B:C2:19:B2:8F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053290,00:0B:C2:19:B2:91,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053291,00:0B:C2:19:B2:93,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053292,00:0B:C2:19:B2:95,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053293,00:0B:C2:19:B2:97,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053295,00:0B:C2:19:B2:9B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053297,00:0B:C2:19:B2:9F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053299,00:0B:C2:19:B2:A3,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053300,00:0B:C2:19:B2:A5,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053302,00:0B:C2:19:B2:A9,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053303,00:0B:C2:19:B2:AB,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053304,00:0B:C2:19:B2:AD,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053305,00:0B:C2:19:B2:AF,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053306,00:0B:C2:19:B2:B1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053307,00:0B:C2:19:B2:B3,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053309,00:0B:C2:19:B2:B7,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053310,00:0B:C2:19:B2:B9,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053311,00:0B:C2:19:B2:BB,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053312,00:0B:C2:19:B2:BD,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053313,00:0B:C2:19:B2:BF,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053314,00:0B:C2:19:B2:C1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053315,00:0B:C2:19:B2:C3,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053316,00:0B:C2:19:B2:C5,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053317,00:0B:C2:19:B2:C7,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053318,00:0B:C2:19:B2:C9,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053319,00:0B:C2:19:B2:CB,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053320,00:0B:C2:19:B2:CD,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053321,00:0B:C2:19:B2:CF,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053322,00:0B:C2:19:B2:D1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053323,00:0B:C2:19:B2:D3,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053324,00:0B:C2:19:B2:D5,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053325,00:0B:C2:19:B2:D7,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053326,00:0B:C2:19:B2:D9,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053327,00:0B:C2:19:B2:DB,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053328,00:0B:C2:19:B2:DD,n.a.,Corinex,CXP-GPH,20250528
