serialNumber,macAddress,type,registrationStatus,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
ECRX1823000027,000BC216FDCE,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000031,000BC216FDD2,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000033,000BC216FDD4,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000036,000BC216FDD7,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000056,000BC216FDEB,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000057,000BC216FDEC,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000059,000BC216FDEE,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000062,000BC216FDF1,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000064,000BC216FDF3,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000066,000BC216FDF5,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000069,000BC216FDF8,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000070,000BC216FDF9,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000074,000BC216FDFD,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000076,000BC216FDFF,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000083,000BC216FE06,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000085,000BC216FE08,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
